term,presence,absence,IG
stephen,473,473,1.0
opportunity,473,473,1.0
national,473,473,1.0
family,473,473,1.0
continue,474,472,0.9999967757954586
high,474,472,0.9999967757954586
alex,472,474,0.9999967757954586
future,475,471,0.9999871031530123
deliver,470,476,0.9999709819861913
cross,476,470,0.9999709819861913
raise,476,470,0.9999709819861913
jones,476,470,0.9999709819861913
bring,477,469,0.9999484121508744
point,477,469,0.9999484121508744
johnson,469,477,0.9999484121508744
end,469,477,0.9999484121508744
meet,469,477,0.9999484121508744
secretary,477,469,0.9999484121508744
home,469,477,0.9999484121508744
think,469,477,0.9999484121508744
provide,477,469,0.9999484121508744
uk,478,468,0.9999193934452819
western,468,478,0.9999193934452819
martin,468,478,0.9999193934452819
jim,479,467,0.9998839256099634
hope,479,467,0.9998839256099634
peter,479,467,0.9998839256099634
dr,479,467,0.9998839256099634
labour,479,467,0.9998839256099634
george,467,479,0.9998839256099633
child,467,479,0.9998839256099633
use,480,466,0.9998420083277848
week,465,481,0.9997936412239108
world,464,482,0.9997388238657854
hear,463,483,0.9996775557631078
like,483,463,0.9996775557631078
start,463,483,0.9996775557631078
sarah,484,462,0.999609836367807
public,484,462,0.999609836367807
steve,462,484,0.999609836367807
debate,484,462,0.999609836367807
sure,461,485,0.999535665074012
richard,485,461,0.999535665074012
tom,460,486,0.9994550412180188
smith,486,460,0.9994550412180188
parliament,460,486,0.9994550412180188
ben,460,486,0.9994550412180188
business,460,486,0.9994550412180188
thing,459,487,0.9993679640782552
job,459,487,0.9993679640782552
number,459,487,0.9993679640782552
party,458,488,0.9992744328752421
constituent,458,488,0.9992744328752421
speak,457,489,0.9991744467715515
clear,457,489,0.9991744467715515
set,456,490,0.9990680048717612
forward,456,490,0.9990680048717612
welcome,456,490,0.9990680048717612
mean,456,490,0.9990680048717612
life,490,456,0.9990680048717612
area,456,490,0.9990680048717612
andrew,491,455,0.9989551062224069
live,454,492,0.9988357498119307
state,492,454,0.9988357498119307
plan,454,492,0.9988357498119307
michael,454,492,0.9988357498119307
local,493,453,0.9987099345706268
far,493,453,0.9987099345706268
community,493,453,0.9987099345706268
paul,493,453,0.9987099345706268
way,494,452,0.9985776593705837
hall,494,452,0.9985776593705837
help,495,451,0.9984389230256236
andy,451,495,0.9984389230256236
issue,495,451,0.9984389230256236
speech,450,496,0.998293724291238
follow,450,496,0.998293724291238
pay,497,449,0.9981420618645208
grant,497,449,0.9981420618645208
leave,448,498,0.9979839343840983
north,447,499,0.9978193404300547
agree,447,499,0.9978193404300547
build,447,499,0.9978193404300547
thank,500,446,0.9976482785238567
constituency,500,446,0.9976482785238567
case,446,500,0.9976482785238567
ask,445,501,0.9974707471282719
east,444,502,0.9972867446472867
great,503,443,0.9970962694260197
change,503,443,0.9970962694260197
course,443,503,0.9970962694260197
important,503,443,0.9970962694260197
members,442,504,0.9968993197506313
school,442,504,0.9968993197506313
month,442,504,0.9968993197506313
mike,442,504,0.9968993197506313
look,505,441,0.9966958938482314
tribute,441,505,0.9966958938482313
lead,440,506,0.9964859898867829
thomas,440,506,0.9964859898867829
increase,440,506,0.9964859898867829
report,439,507,0.9962696059750021
ago,439,507,0.9962696059750021
ian,439,507,0.9962696059750021
white,439,507,0.9962696059750021
speaker,439,507,0.9962696059750021
stone,439,507,0.9962696059750021
million,439,507,0.9962696059750021
hold,439,507,0.9962696059750021
able,438,508,0.9960467401622555
serve,438,508,0.9960467401622555
let,438,508,0.9960467401622555
mary,437,509,0.995817390438454
ensure,509,437,0.995817390438454
service,509,437,0.995817390438454
deputy,436,510,0.9955815547339433
proud,436,510,0.9955815547339433
stand,435,511,0.995339230919391
mention,435,511,0.995339230919391
day,512,434,0.99509041680567
simon,434,512,0.99509041680567
face,434,512,0.99509041680567
health,434,512,0.99509041680567
talk,434,512,0.99509041680567
hard,433,513,0.9948351101437392
brown,433,513,0.9948351101437392
past,432,514,0.9945733086245202
helen,432,514,0.9945733086245202
grow,432,514,0.9945733086245202
represent,432,514,0.9945733086245202
shannon,432,514,0.9945733086245202
today,514,432,0.9945733086245201
chris,514,432,0.9945733086245201
margaret,431,515,0.9943050098787711
champion,515,431,0.9943050098787711
create,431,515,0.9943050098787711
act,431,515,0.9943050098787711
south,430,516,0.9940302114769565
power,430,516,0.9940302114769565
james,517,429,0.9937489109291138
tell,429,517,0.9937489109291137
early,429,517,0.9937489109291137
small,428,518,0.9934611056847168
davies,428,518,0.9934611056847168
good,518,428,0.9934611056847168
want,519,427,0.9931667931325352
challenge,427,519,0.9931667931325352
recognise,427,519,0.9931667931325352
cost,427,519,0.9931667931325352
lewis,426,520,0.9928659706004909
action,426,520,0.9928659706004909
secure,426,520,0.9928659706004909
benefit,426,520,0.9928659706004909
record,426,520,0.9928659706004909
jack,425,521,0.9925586353555103
office,425,521,0.9925586353555103
feel,425,521,0.9925586353555103
believe,425,521,0.9925586353555103
experience,425,521,0.9925586353555103
investment,424,522,0.992244784603374
role,424,522,0.992244784603374
wish,424,522,0.992244784603374
term,424,522,0.992244784603374
new,522,424,0.9922447846033738
protect,423,523,0.9919244154885611
minister,523,423,0.9919244154885611
access,423,523,0.9919244154885611
matter,423,523,0.9919244154885611
include,524,422,0.9915975250940927
british,422,524,0.9915975250940927
joy,422,524,0.9915975250940927
liz,422,524,0.9915975250940927
deal,422,524,0.9915975250940927
spend,422,524,0.9915975250940927
england,422,524,0.9915975250940927
campaign,422,524,0.9915975250940927
particularly,422,524,0.9915975250940927
fact,421,525,0.9912641104413694
wood,421,525,0.9912641104413694
remain,421,525,0.9912641104413694
place,525,421,0.9912641104413694
prime,421,525,0.9912641104413694
big,421,525,0.9912641104413694
jo,420,526,0.9909241684900056
welsh,420,526,0.9909241684900056
authority,420,526,0.9909241684900056
care,420,526,0.9909241684900056
just,526,420,0.9909241684900056
conservative,420,526,0.9909241684900056
hayes,420,526,0.9909241684900056
run,420,526,0.9909241684900056
impact,420,526,0.9909241684900056
question,420,526,0.9909241684900056
improve,419,527,0.9905776961376611
close,419,527,0.9905776961376611
foster,419,527,0.9905776961376611
mp,419,527,0.9905776961376611
grateful,419,527,0.9905776961376611
group,419,527,0.9905776961376611
old,419,527,0.9905776961376611
country,527,419,0.9905776961376611
west,528,418,0.9902246902198684
sector,418,528,0.9902246902198684
billion,418,528,0.9902246902198684
lee,418,528,0.9902246902198684
matt,417,529,0.9898651475098557
come,529,417,0.9898651475098557
economy,417,529,0.9898651475098557
colleague,417,529,0.9898651475098557
allow,417,529,0.9898651475098557
understand,417,529,0.9898651475098557
play,417,529,0.9898651475098557
edward,417,529,0.9898651475098557
particular,417,529,0.9898651475098557
really,416,530,0.9894990647183677
nick,416,530,0.9894990647183677
committee,416,530,0.9894990647183677
join,416,530,0.9894990647183677
anna,415,531,0.9891264384934811
trust,415,531,0.9891264384934811
turn,415,531,0.9891264384934811
bell,415,531,0.9891264384934811
security,415,531,0.9891264384934811
commitment,415,531,0.9891264384934811
consider,415,531,0.9891264384934811
kevin,415,531,0.9891264384934811
social,414,532,0.9887472654204169
force,414,532,0.9887472654204169
large,414,532,0.9887472654204169
offer,414,532,0.9887472654204169
town,413,533,0.9883615420213491
example,413,533,0.9883615420213491
decision,413,533,0.9883615420213491
contribution,413,533,0.9883615420213491
economic,413,533,0.9883615420213491
rachel,413,533,0.9883615420213491
level,413,533,0.9883615420213491
real,412,534,0.9879692647552094
fund,412,534,0.9879692647552094
receive,412,534,0.9879692647552094
learn,412,534,0.9879692647552094
growth,412,534,0.9879692647552094
drive,412,534,0.9879692647552094
alan,412,534,0.9879692647552094
second,412,534,0.9879692647552094
pleased,411,535,0.987570430017488
happen,411,535,0.987570430017488
heart,411,535,0.987570430017488
reform,411,535,0.987570430017488
address,410,536,0.9871650341400307
education,410,536,0.9871650341400307
different,410,536,0.9871650341400307
money,410,536,0.9871650341400307
henry,410,536,0.9871650341400307
election,410,536,0.9871650341400307
achieve,409,537,0.986753073390831
britain,409,537,0.986753073390831
share,409,537,0.986753073390831
previous,409,537,0.986753073390831
open,409,537,0.986753073390831
rebecca,409,537,0.986753073390831
base,409,537,0.986753073390831
woman,409,537,0.986753073390831
try,408,538,0.98633454397382
mr,408,538,0.98633454397382
history,408,538,0.98633454397382
seek,408,538,0.98633454397382
industry,408,538,0.98633454397382
lose,408,538,0.98633454397382
rise,408,538,0.98633454397382
organisation,407,539,0.985909442028652
require,407,539,0.985909442028652
order,407,539,0.985909442028652
focus,407,539,0.985909442028652
adam,406,540,0.9854777636304837
gareth,406,540,0.9854777636304837
alison,406,540,0.9854777636304837
international,406,540,0.9854777636304837
step,406,540,0.9854777636304837
luke,406,540,0.9854777636304837
away,406,540,0.9854777636304837
political,405,541,0.9850395047897527
stop,405,541,0.9850395047897527
john,541,405,0.9850395047897527
review,405,541,0.9850395047897527
vital,405,541,0.9850395047897527
centre,405,541,0.9850395047897527
law,541,405,0.9850395047897527
victoria,405,541,0.9850395047897527
result,404,542,0.9845946614519496
green,542,404,0.9845946614519496
leader,404,542,0.9845946614519496
murray,404,542,0.9845946614519496
lot,404,542,0.9845946614519496
recently,404,542,0.9845946614519496
jonathan,404,542,0.9845946614519496
concern,404,542,0.9845946614519496
begin,403,543,0.9841432294973878
visit,403,543,0.9841432294973878
return,403,543,0.9841432294973878
christian,403,543,0.9841432294973878
commit,403,543,0.9841432294973878
emma,403,543,0.9841432294973878
staff,403,543,0.9841432294973878
moment,403,543,0.9841432294973878
deserve,403,543,0.9841432294973878
department,403,543,0.9841432294973878
energy,402,544,0.983685204740966
approach,402,544,0.983685204740966
strong,402,544,0.983685204740966
standard,402,544,0.983685204740966
break,401,545,0.9832205829319318
significant,401,545,0.9832205829319318
bear,401,545,0.9832205829319318
policy,401,545,0.9832205829319318
responsibility,401,545,0.9832205829319318
claire,401,545,0.9832205829319318
introduce,401,545,0.9832205829319318
special,401,545,0.9832205829319318
caroline,400,546,0.9827493597536349
council,400,546,0.9827493597536349
man,400,546,0.9827493597536349
congratulate,400,546,0.9827493597536349
late,400,546,0.9827493597536349
price,400,546,0.9827493597536349
funding,400,546,0.9827493597536349
single,399,547,0.9822715308232806
key,399,547,0.9822715308232806
chair,399,547,0.9822715308232806
word,399,547,0.9822715308232806
recent,399,547,0.9822715308232806
value,399,547,0.9822715308232806
possible,399,547,0.9822715308232806
programme,399,547,0.9822715308232806
parliamentary,399,547,0.9822715308232806
safe,398,548,0.9817870916916775
team,398,548,0.9817870916916775
huge,398,548,0.9817870916916775
age,398,548,0.9817870916916775
absolutely,398,548,0.9817870916916775
khan,398,548,0.9817870916916775
measure,398,548,0.9817870916916775
alongside,398,548,0.9817870916916775
sir,398,548,0.9817870916916775
catherine,398,548,0.9817870916916775
remember,398,548,0.9817870916916775
send,398,548,0.9817870916916775
having,397,549,0.9812960378429805
low,397,549,0.9812960378429805
need,549,397,0.9812960378429805
wide,397,549,0.9812960378429805
person,397,549,0.9812960378429805
tackle,397,549,0.9812960378429805
cause,397,549,0.9812960378429805
general,397,549,0.9812960378429805
united,397,549,0.9812960378429805
lord,397,549,0.9812960378429805
discuss,396,550,0.9807983646944296
available,396,550,0.9807983646944296
generation,396,550,0.9807983646944296
resident,396,550,0.9807983646944296
graham,396,550,0.9807983646944296
know,551,395,0.9802940675960847
problem,395,551,0.9802940675960847
nhs,395,551,0.9802940675960847
company,395,551,0.9802940675960847
difference,395,551,0.9802940675960847
difficult,394,552,0.9797831418305565
happy,394,552,0.9797831418305565
london,394,552,0.9797831418305565
vote,394,552,0.9797831418305565
duncan,394,552,0.9797831418305565
later,394,552,0.9797831418305565
pass,394,552,0.9797831418305565
mark,552,394,0.9797831418305565
chamber,394,552,0.9797831418305565
decade,394,552,0.9797831418305565
bob,394,552,0.9797831418305565
honour,394,552,0.9797831418305565
anderson,393,553,0.9792655826127299
line,393,553,0.9792655826127299
expect,393,553,0.9792655826127299
write,393,553,0.9792655826127299
promise,393,553,0.9792655826127299
cut,393,553,0.9792655826127299
jeremy,393,553,0.9792655826127299
financial,393,553,0.9792655826127299
reason,393,553,0.9792655826127299
reach,393,553,0.9792655826127299
david,553,393,0.9792655826127299
encourage,393,553,0.9792655826127299
finally,393,553,0.9792655826127299
parent,392,554,0.9787413850894884
quite,392,554,0.9787413850894884
little,392,554,0.9787413850894884
fight,392,554,0.9787413850894884
legislation,392,554,0.9787413850894884
view,392,554,0.9787413850894884
simply,392,554,0.9787413850894884
fair,392,554,0.9787413850894884
gentleman,392,554,0.9787413850894884
say,554,392,0.9787413850894882
opposition,391,555,0.9782105443394273
morris,391,555,0.9782105443394273
potential,391,555,0.9782105443394273
central,391,555,0.9782105443394273
establish,391,555,0.9782105443394273
lady,391,555,0.9782105443394273
respect,391,555,0.9782105443394273
fall,391,555,0.9782105443394273
process,391,555,0.9782105443394273
madam,391,555,0.9782105443394273
union,390,556,0.9776730553725683
story,390,556,0.9776730553725683
thousand,390,556,0.9776730553725683
listen,390,556,0.9776730553725683
love,390,556,0.9776730553725683
free,390,556,0.9776730553725683
position,390,556,0.9776730553725683
neil,389,557,0.9771289131300651
importance,389,557,0.9771289131300651
nation,389,557,0.9771289131300651
excellent,389,557,0.9771289131300651
current,389,557,0.9771289131300651
exist,389,557,0.9771289131300651
note,389,557,0.9771289131300651
friend,557,389,0.9771289131300651
french,389,557,0.9771289131300651
sit,388,558,0.9765781124839066
housing,388,558,0.9765781124839066
individual,388,558,0.9765781124839066
double,388,558,0.9765781124839066
market,388,558,0.9765781124839066
suffer,388,558,0.9765781124839066
private,388,558,0.9765781124839066
lucy,388,558,0.9765781124839066
leigh,388,558,0.9765781124839066
announce,387,559,0.9760206482366149
robert,387,559,0.9760206482366149
elect,387,559,0.9760206482366149
enable,387,559,0.9760206482366149
marie,387,559,0.9760206482366149
independent,387,559,0.9760206482366149
trade,387,559,0.9760206482366149
society,387,559,0.9760206482366149
williams,387,559,0.9760206482366149
carry,387,559,0.9760206482366149
morgan,387,559,0.9760206482366149
worker,387,559,0.9760206482366149
kate,386,560,0.9754565151209382
remind,386,560,0.9754565151209382
provision,386,560,0.9754565151209382
situation,386,560,0.9754565151209382
politic,386,560,0.9754565151209382
effort,386,560,0.9754565151209382
matthew,385,561,0.9748857077995388
priority,385,561,0.9748857077995388
street,385,561,0.9748857077995388
quality,385,561,0.9748857077995388
progress,385,561,0.9748857077995388
project,385,561,0.9748857077995388
reduce,385,561,0.9748857077995388
develop,385,561,0.9748857077995388
scheme,385,561,0.9748857077995388
crisis,384,562,0.974308220864676
ruth,384,562,0.974308220864676
city,384,562,0.974308220864676
rate,384,562,0.974308220864676
ministers,384,562,0.974308220864676
kind,384,562,0.974308220864676
fantastic,384,562,0.974308220864676
voice,383,563,0.9737240488378858
form,383,563,0.9737240488378858
fail,383,563,0.9737240488378858
risk,383,563,0.9737240488378858
cover,383,563,0.9737240488378858
road,383,563,0.9737240488378858
official,383,563,0.9737240488378858
oliver,383,563,0.9737240488378858
bad,383,563,0.9737240488378858
hand,383,563,0.9737240488378858
dan,382,564,0.9731331861696537
information,382,564,0.9731331861696537
gordon,382,564,0.9731331861696537
currently,382,564,0.9731331861696537
range,382,564,0.9731331861696537
present,382,564,0.9731331861696537
duty,382,564,0.9731331861696537
condition,382,564,0.9731331861696537
hour,382,564,0.9731331861696537
additional,382,564,0.9731331861696537
shadow,382,564,0.9731331861696537
rightly,382,564,0.9731331861696537
account,381,565,0.9725356272390819
period,381,565,0.9725356272390819
cooper,381,565,0.9725356272390819
head,381,565,0.9725356272390819
publish,381,565,0.9725356272390819
wait,381,565,0.9725356272390819
evans,381,565,0.9725356272390819
support,566,380,0.9719313663535543
answer,380,566,0.9719313663535543
ahead,380,566,0.9719313663535543
claim,380,566,0.9719313663535543
