Question Type,Question,Chunking Method,Retrieval Method,k,Answer,Retrieved Sources
Factual,"What was the main topic of the debate on July 3rd, 2023 in the US Congress?",Fixed,BM25,3,I cannot answer this based on the provided context.,"['debates2023-12-13.txt', 'debates2025-06-12.txt', 'debates2024-05-09.txt']"
Factual,"What was the main topic of the debate on July 3rd, 2023 in the US Congress?",Fixed,BM25,5,I cannot answer this based on the provided context.,"['debates2023-12-13.txt', 'debates2025-06-12.txt', 'debates2024-05-09.txt', 'debates2024-07-18.txt', 'debates2023-06-29.txt']"
Factual,"What was the main topic of the debate on July 3rd, 2023 in the US Congress?",Fixed,BM25,10,I cannot answer this based on the provided context.,"['debates2023-12-13.txt', 'debates2025-06-12.txt', 'debates2024-05-09.txt', 'debates2024-07-18.txt', 'debates2023-06-29.txt', '2023-08-01.txt', 'debates2024-01-29.txt', 'debates2025-07-10.txt', 'debates2023-12-12.txt', 'debates2024-12-06.txt']"
Factual,"What was the main topic of the debate on July 3rd, 2023 in the US Congress?",Recursive,BM25,3,I cannot answer this based on the provided context.,"['debates2023-12-13.txt', 'debates2024-07-18.txt', 'debates2025-06-19.txt']"
Factual,"What was the main topic of the debate on July 3rd, 2023 in the US Congress?",Recursive,BM25,5,I cannot answer this based on the provided context.,"['debates2023-12-13.txt', 'debates2024-07-18.txt', 'debates2025-06-19.txt', 'debates2023-10-24.txt', 'debates2023-10-26.txt']"
Factual,"What was the main topic of the debate on July 3rd, 2023 in the US Congress?",Recursive,BM25,10,I cannot answer this based on the provided context.,"['debates2023-12-13.txt', 'debates2024-07-18.txt', 'debates2025-06-19.txt', 'debates2023-10-24.txt', 'debates2023-10-26.txt', 'debates2023-12-12.txt', 'debates2023-06-29.txt', 'debates2025-07-03.txt', 'debates2024-01-25.txt', '2023-08-01.txt']"
Factual,"What was the main topic of the debate on July 3rd, 2023 in the US Congress?",Fixed,Hybrid,3,"Error generating answer: Error calling model 'gemini-flash-latest' (RESOURCE_EXHAUSTED): 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-2.5-flash\nPlease retry in 14.189763365s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '5'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '14s'}]}}","['debates2025-07-10.txt', 'debates2024-07-18.txt', 'debates2025-06-26.txt']"
Factual,"What was the main topic of the debate on July 3rd, 2023 in the US Congress?",Fixed,Hybrid,5,I cannot answer this based on the provided context.,"['debates2025-07-10.txt', 'debates2024-07-18.txt', 'debates2025-06-26.txt', 'debates2023-11-23.txt', 'debates2025-06-05.txt']"
Factual,"What was the main topic of the debate on July 3rd, 2023 in the US Congress?",Fixed,Hybrid,10,I cannot answer this based on the provided context.,"['debates2025-07-10.txt', 'debates2024-07-18.txt', 'debates2025-06-26.txt', 'debates2023-11-23.txt', 'debates2025-06-05.txt', 'debates2025-07-10.txt', 'debates2023-10-19.txt', 'debates2023-11-16.txt', 'debates2024-01-18.txt', '2024-06-12.txt']"
Factual,"What was the main topic of the debate on July 3rd, 2023 in the US Congress?",Recursive,Hybrid,3,I cannot answer this based on the provided context.,"['debates2025-07-10.txt', 'debates2024-12-12.txt', 'debates2025-06-19.txt']"
Factual,"What was the main topic of the debate on July 3rd, 2023 in the US Congress?",Recursive,Hybrid,5,I cannot answer this based on the provided context.,"['debates2025-07-10.txt', 'debates2024-12-12.txt', 'debates2025-06-19.txt', 'debates2024-01-18.txt', 'debates2023-11-09.txt']"
