country,channel,time_label,topic,rag_score,graphrag_score,delta
UK,uk_parliament,time point 1,2,0.053,0.053,0.0
UK,uk_parliament,time point 1,3,0.053,0.053,0.0
UK,uk_parliament,time point 1,4,0.053,0.053,0.0
UK,uk_parliament,time point 2,2,0.053,0.053,0.0
UK,uk_parliament,time point 2,3,0.053,0.053,0.0
UK,uk_parliament,time point 2,4,0.053,0.053,0.0
UK,uk_parliament,time point 3,2,0.053,0.053,0.0
UK,uk_parliament,time point 3,3,0.053,0.053,0.0
UK,uk_parliament,time point 3,4,0.053,0.053,0.0
UK,uk_parliament,time point 4,2,0.053,0.053,0.0
UK,uk_parliament,time point 4,3,0.053,0.053,0.0
UK,uk_parliament,time point 4,4,0.053,0.053,0.0
UK,uk_parliament,time point 5,2,0.05,0.05,0.0
UK,uk_parliament,time point 5,3,0.05,0.05,0.0
UK,uk_parliament,time point 5,4,0.05,0.05,0.0
UK,uk_parliament,time point 6,2,0.05,0.05,0.0
UK,uk_parliament,time point 6,3,0.05,0.05,0.0
UK,uk_parliament,time point 6,4,0.05,0.05,0.0
UK,uk_parliament,time point 7,2,0.05,0.05,0.0
UK,uk_parliament,time point 7,3,0.05,0.05,0.0
UK,uk_parliament,time point 7,4,0.05,0.05,0.0
UK,uk_parliament,time point 8,2,0.05,0.05,0.0
UK,uk_parliament,time point 8,3,0.05,0.05,0.0
UK,uk_parliament,time point 8,4,0.05,0.05,0.0
UK,uk_parliament,time point 9,2,0.053,0.053,0.0
UK,uk_parliament,time point 9,3,0.053,0.053,0.0
UK,uk_parliament,time point 9,4,0.053,0.053,0.0
UK,uk_parliament,time point 10,2,0.053,0.053,0.0
UK,uk_parliament,time point 10,3,0.053,0.053,0.0
UK,uk_parliament,time point 10,4,0.053,0.053,0.0
UK,uk_parliament,time point 11,2,0.053,0.053,0.0
UK,uk_parliament,time point 11,3,0.053,0.053,0.0
UK,uk_parliament,time point 11,4,0.053,0.053,0.0
UK,uk_parliament,time point 12,2,0.053,0.053,0.0
UK,uk_parliament,time point 12,3,0.053,0.053,0.0
UK,uk_parliament,time point 12,4,0.053,0.053,0.0
UK,uk_parliament,time point 13,2,0.05,0.05,0.0
UK,uk_parliament,time point 13,3,0.05,0.05,0.0
UK,uk_parliament,time point 13,4,0.05,0.05,0.0
UK,uk_parliament,time point 14,2,0.05,0.05,0.0
UK,uk_parliament,time point 14,3,0.05,0.05,0.0
UK,uk_parliament,time point 14,4,0.05,0.05,0.0
UK,uk_parliament,time point 15,2,0.053,0.053,0.0
UK,uk_parliament,time point 15,3,0.053,0.053,0.0
UK,uk_parliament,time point 15,4,0.053,0.053,0.0
UK,uk_parliament,time point 16,2,0.053,0.053,0.0
UK,uk_parliament,time point 16,3,0.053,0.053,0.0
UK,uk_parliament,time point 16,4,0.053,0.053,0.0
UK,uk_parliament,time point 17,2,0.053,0.053,0.0
UK,uk_parliament,time point 17,3,0.053,0.053,0.0
UK,uk_parliament,time point 17,4,0.053,0.053,0.0
UK,uk_parliament,time point 18,2,0.053,0.053,0.0
UK,uk_parliament,time point 18,3,0.053,0.053,0.0
UK,uk_parliament,time point 18,4,0.053,0.053,0.0
UK,uk_parliament,time point 19,2,0.053,0.053,0.0
UK,uk_parliament,time point 19,3,0.053,0.053,0.0
UK,uk_parliament,time point 19,4,0.053,0.053,0.0
UK,uk_parliament,time point 20,2,0.053,0.053,0.0
UK,uk_parliament,time point 20,3,0.053,0.053,0.0
UK,uk_parliament,time point 20,4,0.053,0.053,0.0
UK,uk_parliament,time point 21,2,0.053,0.053,0.0
UK,uk_parliament,time point 21,3,0.053,0.053,0.0
UK,uk_parliament,time point 21,4,0.053,0.053,0.0
UK,uk_parliament,time point 22,2,0.053,0.053,0.0
UK,uk_parliament,time point 22,3,0.053,0.053,0.0
UK,uk_parliament,time point 22,4,0.053,0.053,0.0
UK,uk_parliament,time point 23,2,0.053,0.053,0.0
UK,uk_parliament,time point 23,3,0.053,0.053,0.0
UK,uk_parliament,time point 23,4,0.053,0.053,0.0
UK,uk_parliament,time point 24,2,0.053,0.053,0.0
UK,uk_parliament,time point 24,3,0.053,0.053,0.0
UK,uk_parliament,time point 24,4,0.053,0.053,0.0
UK,uk_parliament,time point 25,2,0.053,0.053,0.0
UK,uk_parliament,time point 25,3,0.053,0.053,0.0
UK,uk_parliament,time point 25,4,0.053,0.053,0.0
UK,uk_parliament,time point 26,2,0.05,0.05,0.0
UK,uk_parliament,time point 26,3,0.05,0.05,0.0
UK,uk_parliament,time point 26,4,0.05,0.05,0.0
UK,uk_parliament,time point 27,2,0.053,0.053,0.0
UK,uk_parliament,time point 27,3,0.053,0.053,0.0
UK,uk_parliament,time point 27,4,0.053,0.053,0.0
UK,uk_parliament,time point 28,2,0.053,0.053,0.0
UK,uk_parliament,time point 28,3,0.053,0.053,0.0
UK,uk_parliament,time point 28,4,0.053,0.053,0.0
UK,uk_parliament,time point 29,2,0.053,0.053,0.0
UK,uk_parliament,time point 29,3,0.053,0.053,0.0
UK,uk_parliament,time point 29,4,0.053,0.053,0.0
UK,uk_parliament,time point 30,2,0.053,0.053,0.0
UK,uk_parliament,time point 30,3,0.053,0.053,0.0
UK,uk_parliament,time point 30,4,0.053,0.053,0.0
UK,uk_parliament,time point 31,2,0.053,0.053,0.0
UK,uk_parliament,time point 31,3,0.053,0.053,0.0
UK,uk_parliament,time point 31,4,0.053,0.053,0.0
UK,uk_parliament,time point 32,2,0.053,0.053,0.0
UK,uk_parliament,time point 32,3,0.053,0.053,0.0
UK,uk_parliament,time point 32,4,0.053,0.053,0.0
UK,uk_parliament,time point 33,2,0.053,0.053,0.0
UK,uk_parliament,time point 33,3,0.053,0.053,0.0
UK,uk_parliament,time point 33,4,0.053,0.053,0.0
UK,uk_parliament,time point 34,2,0.053,0.053,0.0
UK,uk_parliament,time point 34,3,0.053,0.053,0.0
UK,uk_parliament,time point 34,4,0.053,0.053,0.0
UK,uk_parliament,time point 35,2,0.053,0.053,0.0
UK,uk_parliament,time point 35,3,0.053,0.053,0.0
UK,uk_parliament,time point 35,4,0.053,0.053,0.0
UK,uk_parliament,time point 36,2,0.053,0.053,0.0
UK,uk_parliament,time point 36,3,0.053,0.053,0.0
UK,uk_parliament,time point 36,4,0.053,0.053,0.0
UK,uk_parliament,time point 37,2,0.053,0.053,0.0
UK,uk_parliament,time point 37,3,0.053,0.053,0.0
UK,uk_parliament,time point 37,4,0.053,0.053,0.0
UK,uk_parliament,time point 38,2,0.053,0.053,0.0
UK,uk_parliament,time point 38,3,0.053,0.053,0.0
UK,uk_parliament,time point 38,4,0.053,0.053,0.0
UK,uk_parliament,time point 39,2,0.053,0.053,0.0
UK,uk_parliament,time point 39,3,0.053,0.053,0.0
UK,uk_parliament,time point 39,4,0.053,0.053,0.0
UK,uk_parliament,time point 40,2,0.05,0.05,0.0
UK,uk_parliament,time point 40,3,0.05,0.05,0.0
UK,uk_parliament,time point 40,4,0.05,0.05,0.0
UK,uk_parliament,time point 41,2,0.053,0.053,0.0
UK,uk_parliament,time point 41,3,0.053,0.053,0.0
UK,uk_parliament,time point 41,4,0.053,0.053,0.0
UK,uk_parliament,time point 42,2,0.053,0.053,0.0
UK,uk_parliament,time point 42,3,0.053,0.053,0.0
UK,uk_parliament,time point 42,4,0.053,0.053,0.0
UK,uk_parliament,time point 43,2,0.053,0.053,0.0
UK,uk_parliament,time point 43,3,0.053,0.053,0.0
UK,uk_parliament,time point 43,4,0.053,0.053,0.0
UK,uk_parliament,time point 44,2,0.053,0.053,0.0
UK,uk_parliament,time point 44,3,0.053,0.053,0.0
UK,uk_parliament,time point 44,4,0.053,0.053,0.0
UK,uk_parliament,time point 45,2,0.053,0.053,0.0
UK,uk_parliament,time point 45,3,0.053,0.053,0.0
UK,uk_parliament,time point 45,4,0.053,0.053,0.0
UK,uk_parliament,time point 46,2,0.053,0.053,0.0
UK,uk_parliament,time point 46,3,0.053,0.053,0.0
UK,uk_parliament,time point 46,4,0.053,0.053,0.0
UK,uk_parliament,time point 47,2,0.053,0.053,0.0
UK,uk_parliament,time point 47,3,0.053,0.053,0.0
UK,uk_parliament,time point 47,4,0.053,0.053,0.0
UK,uk_parliament,time point 48,2,0.053,0.053,0.0
UK,uk_parliament,time point 48,3,0.053,0.053,0.0
UK,uk_parliament,time point 48,4,0.053,0.053,0.0
UK,uk_parliament,time point 49,2,0.05,0.05,0.0
UK,uk_parliament,time point 49,3,0.05,0.05,0.0
UK,uk_parliament,time point 49,4,0.05,0.05,0.0
UK,uk_parliament,time point 50,2,0.05,0.05,0.0
UK,uk_parliament,time point 50,3,0.05,0.05,0.0
UK,uk_parliament,time point 50,4,0.05,0.05,0.0
UK,uk_parliament,time point 51,2,0.05,0.05,0.0
UK,uk_parliament,time point 51,3,0.05,0.05,0.0
UK,uk_parliament,time point 51,4,0.05,0.05,0.0
UK,uk_parliament,time point 52,2,0.05,0.05,0.0
UK,uk_parliament,time point 52,3,0.05,0.05,0.0
UK,uk_parliament,time point 52,4,0.05,0.05,0.0
UK,uk_parliament,time point 53,2,0.05,0.05,0.0
UK,uk_parliament,time point 53,3,0.05,0.05,0.0
UK,uk_parliament,time point 53,4,0.05,0.05,0.0
UK,uk_parliament,time point 54,2,0.05,0.05,0.0
UK,uk_parliament,time point 54,3,0.05,0.05,0.0
UK,uk_parliament,time point 54,4,0.05,0.05,0.0
UK,uk_parliament,time point 55,2,0.053,0.053,0.0
UK,uk_parliament,time point 55,3,0.053,0.053,0.0
UK,uk_parliament,time point 55,4,0.053,0.053,0.0
UK,uk_parliament,time point 56,2,0.053,0.053,0.0
UK,uk_parliament,time point 56,3,0.053,0.053,0.0
UK,uk_parliament,time point 56,4,0.053,0.053,0.0
UK,uk_parliament,time point 57,2,0.053,0.053,0.0
UK,uk_parliament,time point 57,3,0.053,0.053,0.0
UK,uk_parliament,time point 57,4,0.053,0.053,0.0
UK,uk_parliament,time point 58,2,0.05,0.05,0.0
UK,uk_parliament,time point 58,3,0.05,0.05,0.0
UK,uk_parliament,time point 58,4,0.05,0.05,0.0
UK,uk_parliament,time point 59,2,0.05,0.05,0.0
UK,uk_parliament,time point 59,3,0.05,0.05,0.0
UK,uk_parliament,time point 59,4,0.05,0.05,0.0
UK,uk_parliament,time point 60,2,0.05,0.05,0.0
UK,uk_parliament,time point 60,3,0.05,0.05,0.0
UK,uk_parliament,time point 60,4,0.05,0.05,0.0
UK,uk_parliament,time point 61,2,0.053,0.053,0.0
UK,uk_parliament,time point 61,3,0.053,0.053,0.0
UK,uk_parliament,time point 61,4,0.053,0.053,0.0
UK,uk_parliament,time point 62,2,0.053,0.053,0.0
UK,uk_parliament,time point 62,3,0.053,0.053,0.0
UK,uk_parliament,time point 62,4,0.053,0.053,0.0
UK,uk_parliament,time point 63,2,0.053,0.053,0.0
UK,uk_parliament,time point 63,3,0.053,0.053,0.0
UK,uk_parliament,time point 63,4,0.053,0.053,0.0
UK,uk_parliament,time point 64,2,0.053,0.053,0.0
UK,uk_parliament,time point 64,3,0.053,0.053,0.0
UK,uk_parliament,time point 64,4,0.053,0.053,0.0
UK,uk_parliament,time point 65,2,0.05,0.05,0.0
UK,uk_parliament,time point 65,3,0.05,0.05,0.0
UK,uk_parliament,time point 65,4,0.05,0.05,0.0
UK,uk_parliament,time point 66,2,0.053,0.053,0.0
UK,uk_parliament,time point 66,3,0.053,0.053,0.0
UK,uk_parliament,time point 66,4,0.053,0.053,0.0
UK,uk_parliament,time point 67,2,0.053,0.053,0.0
UK,uk_parliament,time point 67,3,0.053,0.053,0.0
UK,uk_parliament,time point 67,4,0.053,0.053,0.0
UK,uk_parliament,time point 68,2,0.053,0.053,0.0
UK,uk_parliament,time point 68,3,0.053,0.053,0.0
UK,uk_parliament,time point 68,4,0.053,0.053,0.0
UK,uk_parliament,time point 69,2,0.053,0.053,0.0
UK,uk_parliament,time point 69,3,0.053,0.053,0.0
UK,uk_parliament,time point 69,4,0.053,0.053,0.0
UK,uk_parliament,time point 70,2,0.053,0.053,0.0
UK,uk_parliament,time point 70,3,0.053,0.053,0.0
UK,uk_parliament,time point 70,4,0.053,0.053,0.0
UK,uk_parliament,time point 71,2,0.053,0.053,0.0
