time_label,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20
time point 1,0.247,0.028,0.111,0.056,0.139,0.028,0.167,0.056,0.056,0.056,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.0
time point 2,0.21,0.037,0.111,0.025,0.148,0.062,0.136,0.099,0.049,0.037,0.037,0.0,0.012,0.037,0.0,0.0,0.0,0.0,0.0,0.0
time point 3,0.165,0.041,0.186,0.01,0.103,0.062,0.124,0.082,0.021,0.072,0.021,0.041,0.041,0.031,0.0,0.0,0.0,0.0,0.0,0.0
time point 4,0.133,0.04,0.159,0.067,0.08,0.027,0.147,0.027,0.053,0.08,0.027,0.053,0.053,0.0,0.0,0.027,0.0,0.0,0.027,0.0
time point 5,0.085,0.064,0.168,0.085,0.064,0.064,0.128,0.043,0.085,0.0,0.043,0.021,0.064,0.0,0.0,0.043,0.0,0.0,0.043,0.0
time point 6,0.116,0.047,0.232,0.023,0.0,0.186,0.07,0.07,0.047,0.047,0.023,0.023,0.07,0.0,0.0,0.023,0.023,0.0,0.0,0.0
time point 7,0.194,0.096,0.096,0.077,0.038,0.096,0.038,0.058,0.038,0.077,0.019,0.0,0.058,0.019,0.0,0.077,0.019,0.0,0.0,0.0
time point 8,0.244,0.105,0.088,0.088,0.053,0.018,0.07,0.07,0.0,0.07,0.018,0.0,0.088,0.035,0.0,0.053,0.0,0.0,0.0,0.0
time point 9,0.181,0.115,0.115,0.082,0.016,0.016,0.18,0.115,0.0,0.033,0.033,0.016,0.066,0.016,0.0,0.0,0.0,0.016,0.0,0.0
time point 10,0.2,0.114,0.086,0.086,0.071,0.014,0.171,0.1,0.0,0.0,0.029,0.043,0.029,0.014,0.0,0.029,0.0,0.014,0.0,0.0
time point 11,0.212,0.053,0.105,0.079,0.145,0.013,0.105,0.053,0.079,0.013,0.026,0.026,0.039,0.013,0.0,0.026,0.013,0.0,0.0,0.0
time point 12,0.195,0.032,0.145,0.065,0.129,0.016,0.113,0.032,0.129,0.048,0.032,0.016,0.032,0.0,0.0,0.0,0.016,0.0,0.0,0.0
time point 13,0.2,0.05,0.167,0.05,0.067,0.1,0.133,0.033,0.083,0.033,0.017,0.05,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.0
time point 14,0.189,0.032,0.143,0.143,0.048,0.143,0.063,0.048,0.063,0.0,0.016,0.032,0.0,0.016,0.0,0.032,0.016,0.016,0.0,0.0
time point 15,0.405,0.0,0.113,0.129,0.048,0.065,0.032,0.016,0.032,0.016,0.032,0.016,0.0,0.016,0.016,0.016,0.016,0.016,0.016,0.0
time point 16,0.37,0.041,0.137,0.041,0.068,0.041,0.082,0.0,0.055,0.027,0.041,0.027,0.014,0.0,0.014,0.0,0.014,0.014,0.014,0.0
time point 17,0.221,0.075,0.164,0.03,0.06,0.06,0.06,0.0,0.06,0.06,0.06,0.015,0.06,0.015,0.0,0.0,0.045,0.015,0.0,0.0
time point 18,0.203,0.031,0.234,0.125,0.109,0.031,0.016,0.0,0.047,0.047,0.047,0.0,0.047,0.016,0.0,0.016,0.031,0.0,0.0,0.0
time point 19,0.227,0.014,0.225,0.169,0.141,0.07,0.014,0.028,0.028,0.0,0.028,0.0,0.0,0.0,0.0,0.014,0.0,0.028,0.014,0.0
time point 20,0.203,0.073,0.145,0.145,0.145,0.109,0.018,0.036,0.018,0.018,0.018,0.0,0.018,0.0,0.0,0.0,0.0,0.036,0.018,0.0
time point 21,0.075,0.1,0.125,0.15,0.225,0.075,0.05,0.025,0.05,0.075,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.025,0.0,0.0
time point 22,0.167,0.024,0.095,0.214,0.236,0.024,0.048,0.024,0.024,0.048,0.024,0.024,0.024,0.0,0.0,0.0,0.0,0.024,0.0,0.0
time point 23,0.131,0.066,0.082,0.213,0.197,0.033,0.066,0.016,0.016,0.033,0.033,0.016,0.016,0.0,0.0,0.0,0.066,0.0,0.016,0.0
time point 24,0.164,0.068,0.11,0.123,0.192,0.027,0.041,0.055,0.027,0.055,0.014,0.014,0.014,0.0,0.0,0.0,0.055,0.0,0.041,0.0
time point 25,0.189,0.094,0.113,0.057,0.243,0.0,0.038,0.057,0.057,0.057,0.0,0.019,0.038,0.0,0.0,0.0,0.0,0.0,0.038,0.0
