time_label,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20
time point 1,0.47,0.0,0.265,0.061,0.0,0.041,0.02,0.102,0.0,0.0,0.0,0.0,0.0,0.041,0.0,0.0,0.0,0.0,0.0,0.0
time point 2,0.426,0.0,0.26,0.123,0.0,0.068,0.014,0.082,0.0,0.0,0.0,0.0,0.0,0.027,0.0,0.0,0.0,0.0,0.0,0.0
time point 3,0.379,0.0,0.273,0.091,0.0,0.061,0.045,0.076,0.0,0.015,0.045,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0
time point 4,0.435,0.0,0.217,0.043,0.0,0.022,0.109,0.065,0.0,0.022,0.065,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0
time point 5,0.593,0.0,0.148,0.074,0.0,0.0,0.111,0.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 6,0.626,0.0,0.156,0.0,0.0,0.062,0.094,0.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 7,0.605,0.0,0.182,0.061,0.0,0.061,0.061,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 8,0.594,0.0,0.188,0.094,0.0,0.062,0.031,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 9,0.536,0.0,0.214,0.107,0.0,0.036,0.036,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 10,0.46,0.0,0.297,0.081,0.0,0.081,0.027,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 11,0.5,0.0,0.25,0.033,0.0,0.083,0.067,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
