time_label,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20
time point 1,0.0,0.645,0.0,0.0,0.059,0.0,0.0,0.02,0.059,0.02,0.0,0.02,0.059,0.02,0.02,0.039,0.0,0.039,0.0,0.0
time point 2,0.0,0.589,0.0,0.0,0.103,0.0,0.0,0.026,0.077,0.0,0.0,0.051,0.026,0.0,0.026,0.051,0.0,0.051,0.0,0.0
time point 3,0.0,0.729,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.045,0.0,0.136,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0
time point 4,0.0,0.598,0.0,0.0,0.057,0.0,0.0,0.029,0.086,0.029,0.029,0.057,0.086,0.029,0.0,0.0,0.0,0.0,0.0,0.0
time point 5,0.0,0.538,0.0,0.0,0.098,0.0,0.0,0.024,0.073,0.024,0.024,0.0,0.073,0.024,0.073,0.049,0.0,0.0,0.0,0.0
time point 6,0.0,0.386,0.0,0.0,0.194,0.0,0.0,0.0,0.097,0.032,0.0,0.0,0.065,0.032,0.129,0.065,0.0,0.0,0.0,0.0
time point 7,0.0,0.487,0.0,0.027,0.189,0.0,0.0,0.0,0.081,0.027,0.0,0.0,0.108,0.027,0.054,0.0,0.0,0.0,0.0,0.0
time point 8,0.0,0.535,0.0,0.033,0.133,0.0,0.0,0.0,0.033,0.033,0.0,0.0,0.067,0.033,0.033,0.1,0.0,0.0,0.0,0.0
time point 9,0.057,0.627,0.0,0.0,0.086,0.0,0.0,0.0,0.057,0.0,0.029,0.0,0.0,0.0,0.029,0.086,0.0,0.029,0.0,0.0
time point 10,0.067,0.734,0.0,0.0,0.067,0.0,0.0,0.0,0.033,0.0,0.033,0.0,0.0,0.0,0.033,0.0,0.0,0.033,0.0,0.0
time point 11,0.0,0.525,0.0,0.0,0.105,0.0,0.0,0.0,0.053,0.053,0.0,0.053,0.0,0.053,0.105,0.053,0.0,0.0,0.0,0.0
time point 12,0.0,0.525,0.0,0.0,0.105,0.0,0.0,0.0,0.053,0.053,0.0,0.053,0.0,0.053,0.105,0.053,0.0,0.0,0.0,0.0
time point 13,0.0,0.555,0.0,0.0,0.028,0.0,0.0,0.0,0.056,0.083,0.25,0.0,0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.0
time point 14,0.0,0.542,0.0,0.0,0.029,0.0,0.0,0.0,0.057,0.086,0.257,0.0,0.0,0.0,0.0,0.029,0.0,0.0,0.0,0.0
time point 15,0.0,0.53,0.0,0.0,0.294,0.0,0.0,0.0,0.0,0.0,0.176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 16,0.0,0.593,0.0,0.0,0.188,0.0,0.0,0.0,0.0,0.0,0.188,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 17,0.0,0.382,0.0,0.0,0.118,0.0,0.0,0.0,0.059,0.059,0.176,0.059,0.0,0.059,0.059,0.0,0.0,0.029,0.0,0.0
time point 18,0.0,0.325,0.0,0.0,0.108,0.0,0.0,0.0,0.054,0.135,0.081,0.135,0.0,0.054,0.054,0.027,0.0,0.027,0.0,0.0
time point 19,0.0,0.604,0.0,0.0,0.07,0.0,0.0,0.0,0.07,0.093,0.047,0.093,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0
time point 20,0.0,0.625,0.0,0.0,0.125,0.0,0.0,0.0,0.094,0.031,0.094,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0
time point 21,0.0,0.388,0.0,0.0,0.083,0.056,0.0,0.028,0.0,0.028,0.361,0.0,0.028,0.0,0.028,0.0,0.0,0.0,0.0,0.0
time point 22,0.0,0.434,0.0,0.0,0.033,0.067,0.0,0.033,0.0,0.0,0.4,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 23,0.0,0.616,0.0,0.0,0.077,0.0,0.0,0.0,0.0,0.154,0.115,0.0,0.0,0.038,0.0,0.0,0.0,0.0,0.0,0.0
time point 24,0.0,0.578,0.0,0.0,0.115,0.0,0.0,0.0,0.0,0.154,0.115,0.0,0.0,0.038,0.0,0.0,0.0,0.0,0.0,0.0
time point 25,0.0,0.725,0.0,0.0,0.069,0.0,0.0,0.0,0.0,0.0,0.069,0.034,0.069,0.0,0.0,0.034,0.0,0.0,0.0,0.0
time point 26,0.0,0.741,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.074,0.037,0.074,0.0,0.0,0.037,0.0,0.0,0.0,0.0
time point 27,0.0,0.475,0.0,0.0,0.19,0.0,0.0,0.0,0.095,0.048,0.048,0.048,0.048,0.0,0.048,0.0,0.0,0.0,0.0,0.0
time point 28,0.0,0.514,0.0,0.0,0.152,0.0,0.0,0.0,0.061,0.03,0.091,0.061,0.061,0.0,0.03,0.0,0.0,0.0,0.0,0.0
time point 29,0.0,0.7,0.0,0.0,0.075,0.0,0.0,0.0,0.025,0.0,0.1,0.025,0.05,0.0,0.0,0.025,0.0,0.0,0.0,0.0
time point 30,0.0,0.713,0.0,0.0,0.086,0.0,0.0,0.0,0.029,0.0,0.114,0.0,0.029,0.0,0.0,0.029,0.0,0.0,0.0,0.0
time point 31,0.0,0.554,0.0,0.0,0.138,0.0,0.034,0.0,0.034,0.069,0.103,0.0,0.0,0.034,0.0,0.034,0.0,0.0,0.0,0.0
time point 32,0.0,0.537,0.0,0.051,0.128,0.0,0.026,0.0,0.026,0.077,0.051,0.026,0.026,0.026,0.0,0.026,0.0,0.0,0.0,0.0
time point 33,0.0,0.5,0.0,0.05,0.175,0.0,0.0,0.0,0.0,0.025,0.05,0.025,0.025,0.075,0.025,0.0,0.0,0.05,0.0,0.0
time point 34,0.0,0.514,0.0,0.057,0.143,0.0,0.0,0.0,0.0,0.0,0.029,0.0,0.0,0.114,0.029,0.0,0.0,0.114,0.0,0.0
time point 35,0.0,0.622,0.0,0.054,0.081,0.0,0.0,0.0,0.054,0.027,0.027,0.0,0.0,0.027,0.0,0.054,0.0,0.054,0.0,0.0
time point 36,0.0,0.655,0.0,0.0,0.115,0.0,0.0,0.0,0.077,0.038,0.038,0.0,0.0,0.0,0.0,0.077,0.0,0.0,0.0,0.0
time point 37,0.0,0.459,0.0,0.0,0.042,0.0,0.0,0.0,0.083,0.125,0.125,0.083,0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 38,0.0,0.499,0.0,0.0,0.067,0.0,0.0,0.0,0.1,0.1,0.1,0.067,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 39,0.0,0.589,0.0,0.034,0.138,0.0,0.0,0.0,0.034,0.069,0.034,0.034,0.034,0.0,0.034,0.0,0.0,0.0,0.0,0.0
time point 40,0.0,0.512,0.0,0.026,0.103,0.0,0.0,0.0,0.0,0.051,0.026,0.026,0.077,0.0,0.051,0.051,0.0,0.077,0.0,0.0
time point 41,0.0,0.634,0.0,0.073,0.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049,0.0,0.024,0.049,0.0,0.073,0.0,0.0
time point 42,0.0,0.691,0.0,0.103,0.103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.069,0.0,0.0,0.0,0.0
time point 43,0.0,0.611,0.0,0.0,0.043,0.0,0.0,0.0,0.087,0.13,0.0,0.0,0.043,0.0,0.043,0.043,0.0,0.0,0.0,0.0
time point 44,0.0,0.65,0.0,0.0,0.05,0.0,0.0,0.0,0.1,0.15,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0
time point 45,0.0,0.784,0.0,0.043,0.087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.043,0.0,0.0,0.0,0.0,0.0,0.0
time point 46,0.0,0.751,0.0,0.031,0.094,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.031,0.062,0.0,0.0,0.0,0.0,0.0,0.0
time point 47,0.0,0.553,0.0,0.0,0.184,0.0,0.026,0.0,0.079,0.053,0.053,0.0,0.026,0.026,0.0,0.0,0.0,0.0,0.0,0.0
time point 48,0.0,0.533,0.0,0.0,0.2,0.0,0.033,0.0,0.067,0.067,0.067,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0
