country,topic_rank,topic_id,label,keywords,count
UK,1,0,the / to / of / and,"the, to, of, and, in, that, was, on, is, he",579
UK,2,1,the / to / that / and,"the, to, that, and, of, in, is, we, for, will",454
UK,3,2,the / to / and / of,"the, to, and, of, it, in, said, ai, for, is",398
UK,4,3,episode / the / and / bbc,"episode, the, and, bbc, you, to, of, in, it, with",352
UK,5,4,iplayer / available / you / bbc,"iplayer, available, you, bbc, vpn, proxy, uk, looks, turn, outside",283
UK,6,5,league / the / and / to,"league, the, and, to, in, versus, kick, bbc, of, 2025",261
UK,7,6,the / to / of / and,"the, to, of, and, in, that, is, we, it, for",221
UK,8,7,the / to / and / of,"the, to, and, of, in, that, is, for, it, are",127
UK,9,8,and / the / of / to,"and, the, of, to, you, in, with, add, or, it",123
UK,10,9,the / museum / of / in,"the, museum, of, in, to, was, and, it, bbc, by",87
UK,11,10,the / dogs / of / and,"the, dogs, of, and, to, in, dog, that, cats, it",79
UK,12,11,the / to / that / and,"the, to, that, and, of, in, is, for, will, we",64
UK,13,12,the / of / in / and,"the, of, in, and, to, is, on, for, that, president",62
UK,14,13,the / ship / of / was,"the, ship, of, was, to, and, in, were, on, titanic",41
UK,15,14,trump / harris / the / doge,"trump, harris, the, doge, biden, us, to, musk, and, of",38
UK,16,15,moon / space / earth / the,"moon, space, earth, the, astronauts, of, to, and, it, in",37
UK,17,16,the / of / year / is,"the, of, year, is, and, day, jewish, it, in, celebrated",28
UK,18,17,prince / king / the / harry,"prince, king, the, harry, his, of, royal, in, charles, he",28
UK,19,18,he / actor / his / in,"he, actor, his, in, film, was, the, and, sutherland, of",27
